Year,Name,Genre,IMDB,Rotten T,Rotten Audience,Metacritic,Google_user,PR,Country,Language,Comic,Animation,Tv_series,Budget,Box_office,Run_time,Month
,,,,,,,,,,,,,,,,,
2021,The Last Duel,Drama/Historical Drama,7.4,85,81,67,73%,7,UK,English,no,no,no,100,30.6,153,January
2021,Ghostbusters: Afterlife,Fantasy/Comedy,7.1,63,94,45,76%,6.5,USA,English,no,no,no,75,204.4,124,January
2021,Hawkeye,Action/Superhero,7.5,88,89,66,89%,7.5,USA,English,yes,no,yes,150,0,40-62,January
2021,Operation Java,Crime/Drama,8.2,0,0,0,96%,7.5,India,Malayalam,no,no,no,0,0,146,January
2021,Eternals,Action/Superhero,6.3,47,77,52,71%,6.5,USA,English,yes,no,no,200,402,156,January
2018,Johnny English Strikes Again,Comedy/Adventure,6.2,37,49,39,84%,5.5,UK,English,no,no,no,25,159,89,January
2011,The Raid Redemption,Action/Martial Arts,7.6,87,87,73,88%,7,Indonesia,Indonesian,no,no,no,1.1,9.3,101,January
2021,The Witcher,Fantasy/Adventure,8.2,81,74,62,93%,8,USA,English,no,no,yes,0,0,47-67,January
2007,The Mist,Horror/Thriller,7.1,72,65,58,84%,7,USA,English,no,no,no,18,57.3,126,January
2021,Only Murders in the Building,Comedy/Mystery,8.1,100,92,77,89%,8,USA,English,no,no,yes,0,0,26-38,January
2021,Lupin,Mystery/Thriller,7.5,97,79,81,94%,8,France,French,no,no,yes,0,0,40-52,January
2014,Batman: Assault on Arkham,Action/Superhero,7.4,75,85,0,68%,7,USA,English,yes,yes,no,0,0,76,January
2007,Superman: Doomsday,Action/Superhero,7,50,57,0,72%,7.5,USA,English,yes,yes,no,3.5,10,77,February
2019,Reign of the Superman,Action/Superhero,6.7,93,74,83,73%,7,USA,English,yes,yes,no,0,0.4223,87,February
2019,The Mandalorian,Sci-Fi/Drama,8.8,95,92,71,96%,8.5,USA,English,yes,no,yes,0,0,30-50,February
2013,Superman: Unbound,Action/Superhero,6.5,100,75,0,69%,6,USA,English,yes,yes,no,0,0,75,February
1987,The Untouchables,Crime/Drama,7.9,82,89,79,85%,8,USA,English,no,no,no,25,106.2,119,February
1999,Eyes wide shut,Mystery/Drama,7.5,76,74,68,79%,6.5,USA,English,no,no,no,65,162,159,February
2014,The Raid 2,Action/Thriller,7.9,82,87,71,89%,7.5,Indonesia,Indonesian,no,no,no,4.5,6.77,150,February
2014,Justice League: War,Action/Superhero,7.3,57,79,0,85%,7,USA,English,yes,yes,no,0,0,79,February
2015,Justice League: Throne of Atlantis,Action/Superhero,6.7,63,63,0,62%,6,USA,English,yes,yes,no,0,0,72,February
2016,Headshot,Action/Drama,6.3,74,58,61,70%,6,Indonesia,Indonesian,no,no,no,0,2.7,118,February
2019,Justice League vs Fatal Five,Action/Superhero,6.5,100,68,0,66%,7,USA,English,yes,yes,no,0,0,77,February
2021,Nayattu,Thriller/Survival,8.2,100,100,0,88%,7,India,Malayalam,no,no,no,0,0,122,February
2013,The Lone Ranger,Western/Action,6.4,31,51,37,72%,7.5,USA,English,no,no,no,240,260.5,149,February
1997,Air Force One,Action/Thriller,6.5,78,66,61,84%,7.5,USA,English,no,no,no,85,315.2,124,February
2017,Batman Vs. Two Face,Action/Superhero,6.1,100,62,69,68%,6,USA,English,yes,yes,no,0,0,72,February
2021,Kota Factory (S2),Drama,9,0,90,0,95%,8,India,Hindi,no,no,no,0,0,30-45,March
2022,All of us are dead,Drama,7.6,87,79,67,96%,8,South Korea,Korean,no,no,no,0,0,53-72,March
2021,Midnight Mass,Horror,7.7,87,78,75,87%,7.5,USA,English,no,no,no,0,0,60-71,March
2011,Blitz,Action/Thriller,6.1,48,36,0,80%,6,UK,English,no,no,no,0,15.8,97,March
2015,And Then There Were none,Mystery/Crime,7.8,80,91,82,87%,7,UK,English,no,no,no,0,0,180,March
2016,Te3n,Mystery/Thriller,7.2,67,68,0,64%,6,India,Hindi,no,no,no,340,323,136,March
2020,Alice in Borderland,Thriller/Survival,7.6,78,91,0,95%,7,Japan,Japanese,manga,no,yes,0,0,41-80,March
2012,Superman vs The Elite,Action/Superhero,7,80,75,0,67%,7,USA,English,yes,yes,no,,0,0,March
2020,Tell Me What Your Saw,Crime/Thriller,7.8,0,0,0,94%,8,South Korea,Korean,no,no,yes,0,0,60,March
1994,True Lies,Action/Comedy,7.3,70,76,63,92%,7,USA,English,no,no,no,120,379,141,March
2018,Jim Button And Luke The Engine Driver,Fantasy/Adventure,6.3,0,0,0,77%,5,Germany,English,no,no,no,0,0,110,March
2007,Manorama Six Feet Under,Thriller/Mystery,7.5,0,75,0,62%,7,India,Hindi,no,no,no,0,0,138,March
2009,13B: Fear Has a New Address,Thriller/Horror,7.3,83,63,0,80%,7.5,India,Hindi,no,no,no,12,23,142,March
2016,Wazir,Thriller/Action,7.1,56,53,0,72%,6,India,Hindi,no,no,no,4.4,9.9,104,March
2021,Malignant,Horror/Thriller,6.3,76,52,51,63%,7,USA,English,no,no,no,40,34.9,111,March
2022,Death on the Nile,Mystry/Crime,6.3,62,82,52,66%,5,UK,English,no,no,no,90,137.3,127,March
2007,Doctor Strange Sorcerer Supreme,Action/Superhero,6.6,0,58,0,79%,6.5,USA,English,yes,yes,no,0,0,96,April
2014,Divergent,Sci-fi/Action,6.7,41,69,48,74%,7,USA,English,no,no,no,88,288.9,140,April
2010,Red,Action/Comedy,7,71,72,60,73%,7,USA,English,no,no,no,60,199,111,April
2015,Insurgent,Sci-fi/Action,6.2,28,58,42,79%,6,USA,English,no,no,no,110,297.3,119,April
2016,Allegiant,Sci-fi/Action,5.7,11,41,33,78%,5,USA,English,no,no,no,135,179.2,121,April
2022,The Pirates The Last Royal Treasure,Adventure/Action,6.1,60,61,0,86%,7,South Korea,Korean,no,no,no,18,10.5,126,April
2022,Salute,Thriller/Crime,7,0,0,0,74%,7.5,India,Malayalam,no,no,no,0,0,143,April
2022,The Contractor,Action/Thriller,5.7,44,72,52,58%,5,USA,English,no,no,no,0,2.1,103,April
2022,The Adam Project,Sci-fi/Adventure,6.7,67,73,55,81%,7,USA,English,no,no,no,116,0,106,April
2018,Parallel,Sci-fi/Drama,5.8,82,44,0,72%,5.5,Canada,English,no,no,no,0,0,104,April
2022,Midnight At the Pera Palace,Historical Film/Drama,7.1,0,90,0,96%,7.5,Turkish,Turkey,no,no,yes,0,0,45,April
2022,Hey Sinamika,Drama/Romance,6.1,20,0,0,80%,6,India,Tamil,no,no,no,0,0,141,April
2021,My Name,Crime/Action,7.8,100,94,0,95%,7.5,South Korea,Korean,no,no,yes,0,0,45-59,April
2018,Karwan,Drama/Road,7.6,70,74,0,96%,7.5,India,Hindi,no,no,no,230,264.2,114,April
2022,Uncharted,Action/Adventure,6.3,41,90,45,67%,7,USA,English,no,no,no,120,401.7,116,April
2019,Spies in Disguise,Family/Comedy,6.8,77,92,54,72%,8,USA,English,no,yes,no,100,171.6,102,April
2022,Peacemaker,Action/Superhero,8.3,94,89,70,91%,8,USA,English,yes,no,yes,0,0,39-46,April
2022,Moon Knight,Action/Superhero,7.8,85,92,69,91%,8.5,USA,English,yes,no,yes,0,0,45-53,May
2022,The Batman,Action/Superhero,8,85,87,72,81%,8,USA,English,yes,no,no,190,771,176,May
2009,Green Lantern: First Flight,Action/Superhero,7.1,50,70,0,73%,7,USA,English,yes,yes,no,0,0,77,May
2022,The Lost City,Adventure/Comedy,6.1,79,83,60,53%,5.5,USA,English,no,no,no,68,190.8,112,May
2011,Green Lantern: Emerald Knights,Sci-fi/Superhero,6.7,0,71,0,65%,6.5,USA,English,yes,yes,no,0,0,84,May
2022,Return to Space,Documentary,7.3,79,78,56,86%,7,USA,English,no,no,no,0,0,128,May
2010,Justice League Crisis on Two Earth,,7.2,0,73,0,68%,7,USA,English,yes,yes,no,0,0,75,May
2022,Sharmaji Namkeen,Drama/Comedy,7.6,92,0,0,75%,6,India,Hindi,no,no,no,0,0,119,May
2019,Lupin III: The First,Action/Animation,6.9,95,86,63,85%,6.5,Japan,Japanese,manga,yes,no,0,11,93,May
2021,Injustice,Action/Superhero,6.4,50,41,0,64%,6,USA,English,yes,yes,no,0,0,78,May
2022,Ambulance,Action/Crime,6.1,68,88,55,57%,6.5,USA,English,no,no,no,40,52.3,136,May
2005,Transporter 2,Action/Thriller,6.3,52,58,56,77%,7,France,English,no,no,no,32,89.1,87,May
2008,Transporter 3,Action/Thriller,6,40,48,51,83%,6,France,English,no,no,no,40,109,104,May
2005,Sahara,Action/Adventure,6,38,53,41,70%,6,USA,English,no,no,no,160,119.2,124,May
2002,The Transporter,Action/Thriller,6.8,54,73,51,78%,7.5,France,English,no,no,no,20.5,43.9,92,May
2022,Sonic the Hedgehog 2,Adventure/Comedy,6.5,69,96,47,76%,6.5,USA,English,no,no,no,100,402.7,122,May
2022,Thar,Thriller/Drama,6.1,63,62,0,73%,6,India,Hindi,no,no,no,0,0,108,May
2015,Justice League: Gods and Monsters,Action/Superhero,7,88,71,0,68%,6.5,USA,English,yes,yes,no,0,0,76,May
2021,Atrangi re,Romance/Drama,6.4,0,0,0,77%,6,India,Hindi,no,no,no,0,0,137,May
2008,CJ7,Sci-fi/Comedy,6.4,49,52,46,95%,7,Hong Kong ,Cantonese,no,no,no,20,0.47301471,88,June
2021,Encanto,Musical/Family,7.2,91,93,75,81%,6.5,USA,English,no,yes,no,140,256.8,102,June
2022,Etharkkum Thunindhavan,Action/Drama,6.5,0,0,0,90%,6,India,Tamil,no,no,no,75,185,150,June
2014,As the gods will,Horror/Sci-fi,6.4,57,54,0,89%,6,Japan,Japanese,manga,no,no,0,1.9,117,June
2015,The Invitation,Thriller/Horror,6.6,89,69,74,74%,6,USA ,English,no,no,no,1,0.354835,100,June
2022,The northman,Action/Drama,7.1,89,64,82,68%,7,USA,English,no,no,no,80,69.6,136,June
2022,Vikram,Action/Mystery,8.3,57,95,0,95%,8,India,Tamil,no,no,no,150,460,174,June
2014,Big Hero 6,Family/Adventure,7.8,90,91,74,86%,8.5,USA,English,yes,yes,no,165,657.9,102,June
2011,Puss in Boots,Family/Adventure,6.6,86,68,65,78%,7,USA,English,no,yes,no,130,555,90,June
2008,Next Avengers Heroes of Tomorrow,Action/Superhero,6.2,0,53,0,75%,5.5,USA,English,yes,yes,no,0,0,78,June
2021,Recalled,Mystery/Thriller,6.7,,0,0,87%,5,South Korea,Korean,no,no,no,0,2.56,99,June
2021,Mission Possible,Action/Comedy,6.5,0,0,0,76%,7,South Korea,Korean,no,no,no,0,3.54,105,July
2015,The Chronicles of Evil,Thriller/Crime,6.8,0,71,,87%,6.5,South Korea,Korean,no,no,no,3.4,15.5,102,July
2019,Jumanji The Next Level,Adventure/Comedy,6.7,71,87,58,85%,6,USA,English,no,no,no,130,801.7,123,July
2013,Memories,Thriller/Crime,8,0,72,0,87%,7.5,India,Malayalam,no,no,no,3.4,12,143,July
2017,Wolf Warrior 2,Action/War,5.9,71,0,44,75%,5,China ,Mandarin,no,no,no,30.1,874,121,July
2013,Oblivion,Sci-fi/Action,7,54,61,54,74%,7,USA,English,no,no,no,120,287.9,124,August
2017,Along with the Gods: The Two Worlds,Action/Fantasy,7.2,67,83,0,78%,8,South Korea,Korean,no,no,no,18.3,109.4,140,August
2018,Along With the Gods: The Last 49 Days,Action/Fantasy,7.1,44,79,0,84%,7.5,South Korea,Korean,no,no,no,18.3,92.5,141,August
2022,Man Vs Bee,Comedy,6.7,71,58,69,91%,6,UK,English,no,no,yes,0,0,10-20,August
2021,The Book of Boba Fett,Adventure/Space Western,7.3,66,55,59,86%,8,USA,English,yes,no,yes,0,0,39-61,August
2015,Ennu Ninte Moideen,Romance/Drama,8,0,0,0,90%,7.5,India,Malayalam,no,no,no,12,50,168,August
2018,The Meg,Action/Sci-fi,5.6,46,42,46,78%,6,USA,English,no,no,no,160,530.2,113,August
2022,Jug Jugjeyo,Romance/Drama,6.1,50,42,0,71%,6.5,India,Hindi,no,no,no,121,136,150,August
2016,Stranger Things,Drama,8.7,92,90,74,96%,8.5,USA,English,no,no,yes,270,0,42-150,September
2022,Jurassic World Dominion,Action/Sci-fi,5.6,29,77,38,70%,5.5,USA,English,no,no,no,175,1004,146,September
1997,Gattaca,Sci-fi/Drama,7.8,82,87,64,85%,7.5,USA,English,no,no,no,36,12.5,112,September
2020,Spiritwalker,Action/Thriller,6.2,93,0,0,79%,7,South Korea,Korean,no,no,no,0,6.62,108,September
2022,Jaadugar,Romance/Drama,6.9,0,0,0,90%,7,India,Hindi,no,no,no,0,0,166,September
2009,District 9,Sci-fi,7.9,90,82,81,88%,7,USA,English,no,no,no,30,210.8,112,September
2022,Watcher,Thriller/Psycological Thriller,6.3,87,67,72,72%,6,Romania,English,no,no,no,5,3,96,September
2001,From hell,Horror/Mystery,6.7,57,66,54,91%,6.5,UK,English,no,no,no,35,74.6,122,September
2022,Carter,Action,5.1,35,39,0,54%,5,South Korea,Korean,no,no,no,30,0,132,September
2021,Shiddat,Romantic/Drama,7.6,0,88,0,80%,6.5,India,Hindi,no,no,no,0,0,146,September
2022,Prey,Action/Sci-fi,7.2,93,73,71,87%,7,USA,English,no,no,no,65,0,99,September
1987,Predator,Action/Sci-fi,7.8,80,87,47,91%,8,USA,English,no,no,no,18,98.3,107,September
2022,12th Man,Mystery/Thriller,6.9,0,0,0,86%,6.5,India,Malayalam,no,no,no,0,0,163,September
2002,The Tuxedo,Action/Comedy,5.4,21,30,30,70%,7,USA,English,no,no,no,60,104.4,98,September
2022,Men,Horror/Drama,6.1,69,39,65,51%,6,UK ,English,no,no,no,0,11.2,100,September
2003,Munna Bhai M.B.B.S,Drama/Comedy,8.1,0,94,0,90%,8,India,Hindi,no,no,no,12,56.28,157,September
2006,Lage Raho Munna Bhai,Drama/Comedy,8,0,90,0,92%,7.5,India,Hindi,no,no,no,19,126.2,145,September
2007,Sunshine,Sci-fi/Thriller,7.2,76,73,64,69%,6,UK,English,no,no,no,40,32,107,September
2022,The Gray Man,Action/Thriller,6.5,46,90,49,88%,6.5,USA,English,no,no,no,200,0.454,129,September
2022,Lightyear,Family/Adventure,6.1,74,84,60,56%,7,USA,English,no,yes,no,200,226.4,105,September
2022,Kaduva,Action/Drama,6.1,0,0,0,79%,6.5,India,Malayalam,no,no,no,0,50,154,September
2012,Masquerade,Drama/Historical Drama,7.8,100,89,0,88%,8,South Korea,Korean,no,no,no,9.5,94.3,131,September
2022,The Sandman,Drama,7.7,87,80,66,93%,8,USA,English,no,no,yes,165,0,37-64,September
2011,Game of Thrones,Drama,9.2,89,85,86,92%,8.5,USA,English,no,no,yes,0,0,50-82,October
2019,Makmum,Horror,5,0,0,0,72%,6,Indonesia,Indonesian,no,no,no,0,0,95,October
2020,Love and Monsters,Comedy/Monster,6.9,94,89,63,71%,6.5,USA,English,no,no,no,30,1.1,109,October
2013,Warm Bodies,Romance/Horror,6.8,81,73,60,86%,7.5,USA,English,no,no,no,35,117,98,October
2021,Bright: Samurai Soul,Action/Adventure,5.5,40,37,0,50%,6,Japan,Japanese,no,yes,no,0,0,80,October
2006,Lucky Number Slevin,Thriller/Drama,7.7,51,87,53,86%,7.5,UK,English,no,no,no,27,56.3,110,October
2021,Makmum 2,Horror,4.9,0,0,0,88%,5,Indonesia,Indonesian,no,no,no,0,0,92,October
2022,Cobra,Thriller/Action,6,0,0,0,89%,6,India,Tamil,no,no,no,100,40,163,October
2022,Diary,Thriller/Mystery,7.3,0,0,0,96%,7.5,India,Tamil,no,no,no,0,0,132,October
2006,Mission Impossible 3,Action/Adventure,6.9,71,69,66,87%,7,USA,English,no,no,no,175,550.5,126,October
2022,Thor Love and Thunder,Action/Superhero,6.3,64,77,57,68%,5,USA,English,yes,no,no,250,761,119,October
2022,Bullet Train,Action/Comedy,7.3,54,76,49,72%,8,USA,English,no,no,no,90,239.3,126,October
2022,Alienoid,Action/Sci-fi,6.3,83,89,54,92%,8,South Korea,Korean,no,no,no,26,13,142,October
2021,Gunpowder Milkshake,Action/Thriller,6,60,47,47,65%,6,USA,English,no,no,no,30,1,114,October
2019,Togo,Drama,7.9,93,95,69,88%,8,USA,English,no,no,no,40,0,114,October
2022,Vikrant Rona,Action/Thriller,7.1,40,85,0,85%,7,India,Hindi,no,no,no,75,175,147,October
2022,Batman and Superman: Battle of the Super Sons,Action/Superhero,6.7,100,91,0,55%,6.5,USA,English,yes,yes,no,0,0,80,november
2013,2 Guns,Action/Crime,6.7,64,66,55,81%,7.5,USA,English,no,no,no,61,131.9,109,november
2013,Parker,Action/Thriller,6.2,41,48,42,80%,7,USA,English,no,no,no,35,46.2,118,november
2008,Death Race,Action/Sci-fi,6.4,42,60,43,70%,6,USA,English,no,no,no,60,76,111,november
2010,Insidious,Horror/Thriller,6.8,66,62,52,88%,6,UK,English,no,no,no,1.5,100.1,101,november
2012,Sinister,Horror/Thriller,6.8,63,62,53,84%,6.5,USA,English,no,no,no,3,87.7,109,november
1992,Army of Darkness,Horror/Fantasy,7.4,74,87,59,92%,7.5,USA,English,no,no,no,11,21.5,88,november
2009,Drag me to hell,Horror/Supernatural,6.6,92,62,83,82%,6.5,USA,English,no,no,no,30,90.8,99,november
2021,Major Grom Plague Doctor,Action/Adventure,6.3,0,77,0,75%,7.5,Russia,Russian,yes,no,no,4.27,4.4,137,november
2018,The Witch: Subversion,Action/Mystery,7.1,89,87,0,92%,7.5,South Korea,Korean,no,no,no,5.5,24.4,125,november
2022,The Witch Part 2 The Other One,Action/Thriller,6.2,76,62,0,91%,7,South Korea,Korean,no,no,no,0,23.4,137,november
2019,V1,Drama/Mystery,6.8,0,0,0,62%,7,India,Tamil,no,no,no,0,0,114,november
2022,Smile,Horror/Psychological Horror,6.6,80,77,68,56%,7,USA,English,no,no,no,17,216.1,115,november
2017,The Prison,Action/Crime,6.5,40,67,0,83%,6,South Korea,Korean,no,no,no,0,21.2,125,november
2022,Guillermo del Toro's Cabinet of Curiosities,Anthology,7,93,72,72,88%,6.5,USA,English,no,no,yes,0,0,38-64,november
2022,Enola Holmes 2,Mystery/Crime,6.7,94,78,64,93%,6.5,USA,English,no,no,no,0,0,129,november
2021,Emergency Declaration,Action/Thriller,6.9,64,79,70,92%,7.5,South Korea,Korean,no,no,no,26,21,147,December
2022,Monica O my darling,Comedy/Crime,7.4,80,89,0,95%,7.5,India,Hindi,no,no,no,0,0,129,December
2022,Hit the first case,Action/Thriller,6.8,50,60,0,71%,6,India,Hindi,no,no,no,30,11,133,December
2022,Sardar,Action/Spy,7.6,0,0,0,97%,7,India,Tamil,no,no,no,0,100,165,December
2022,1899,Mystery/Horror FIction,7.4,76,75,68,90%,8,Germany,English,no,no,yes,0,0,50-62,December
2022,The Guardians of the galaxy holiday special,Superhero/Comedy,6.9,93,79,82,75%,6.5,USA,English,yes,no,no,0,0,42,December
2016,The age of shadows,Thriller/Spy,7.1,100,83,78,74%,7.5,South Korea,Korean,no,no,no,8.62,55.3,140,December
2013,The berlin file,Action/Thriller,6.6,43,58,54,78%,6,South Korea,Korean,no,no,no,9,0.48979,120,December
2003,Once upon a time in mexico,Action/Western,6.3,66,64,56,75%,7.5,USA,English,no,no,no,29,98.8,102,December
2002,Red Dragon,Thriller/Crime,7.2,69,74,60,82%,7.5,USA,English,no,no,no,78,209.2,124,December
2003,The Recruite,Thriller/Spy,6.6,43,58,56,80%,6,USA,English,no,no,no,46,101.2,115,December
1996,The Ghost and the darkness,Adventure/Drama,6.8,50,75,46,76%,6.5,USA,English,no,no,no,55,75,110,December
2022,Yashoda,Action/Thriller,6.7,0,58,0,86%,6,India,Telugu,no,no,no,35,50,132,December
2022,Jo and Jo,Comedy,7.1,0,0,0,90%,6.5,India,Malayalam,no,no,no,0,26,133,December
2014,A Most wanted man,Thriller/Spy,6.8,85,65,73,79%,6.5,USA,English,no,no,no,15,36.2,122,December
2009,Superman/Batman: Public Enemies,Action/Superhero,7.1,0,67,0,71%,6,USA,English,yes,yes,no,0,0,67,December
2022,Kooman,Mystery/Thriller,7.3,0,0,0,90%,7.5,India,Malayalam,no,no,no,0,0,153,December
2022,The Roundup,Action/Crime,7,96,100,0,85%,8,USA,English,no,no,no,10.5,101.1,106,December
2022,Baymax,Sci-fi/Comedy,7.1,86,57,0,77%,6,USA,English,yes,yes,yes,0,0,10-11,December
2022,Violent Night,Action/Dark Comedy,6.7,73,88,55,84%,6,USA,English,no,no,no,20,76.1,112,December
2010,I spit on your grave,Horror/Thriller,6.2,31,47,27,85%,5.5,USA,English,no,no,no,2,0.572809,108,December
2022,Alice in Borderland,Thriller/Sci-fi,7.7,89,89,0,95%,8,Japan,Japanese,manga,no,yes,0,0,41-80,December
1963,The Great Escape,War/Action,8.2,94,95,86,86%,8,USA,English,no,no,no,3.8,11.7,172,December